                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.5282,                 1.4378,                 1.5156,                0.69098,                 0.6675,                0.71837,                0.39629,                  1.453,                 1.1906,                 1.4844,             0.00099587,             0.00099587,             0.00099587
                     63,                   1.51,                 1.3966,                 1.5046,                  0.689,                0.66423,                 0.7179,                0.40326,                 1.4441,                 1.2026,                 1.4712,             0.00098486,             0.00098486,             0.00098486
                     64,                  1.539,                 1.4097,                 1.5196,                 0.6827,                0.66157,                0.71347,                0.39774,                 1.4491,                 1.1729,                 1.4782,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.5076,                 1.3754,                  1.495,                0.68568,                0.65575,                0.71522,                0.39122,                 1.4825,                 1.1924,                 1.4876,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.5238,                 1.3948,                 1.4963,                0.67801,                 0.6579,                0.71398,                 0.3947,                 1.4544,                 1.1977,                 1.4669,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.5214,                 1.3866,                 1.5014,                0.67682,                0.65099,                0.71104,                0.39221,                 1.4511,                 1.2095,                 1.4676,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.4971,                 1.3806,                 1.4894,                0.70203,                0.66156,                0.72493,                0.40061,                 1.4521,                 1.1571,                 1.4714,             0.00092985,             0.00092985,             0.00092985
                     69,                 1.4951,                 1.3806,                 1.4857,                0.70966,                0.66271,                0.73201,                0.40987,                 1.4335,                 1.1344,                 1.4582,             0.00091885,             0.00091885,             0.00091885
                     70,                 1.4951,                  1.342,                 1.4781,                0.70858,                0.67368,                0.73681,                0.41703,                 1.4198,                 1.1441,                  1.445,             0.00090785,             0.00090785,             0.00090785
                     71,                 1.5001,                 1.3455,                 1.4856,                0.70619,                0.68155,                0.73918,                0.41804,                 1.4207,                 1.1193,                   1.45,             0.00089685,             0.00089685,             0.00089685
                     72,                 1.4921,                 1.3546,                 1.4844,                0.69421,                0.68174,                0.73512,                0.41828,                 1.4125,                 1.1397,                 1.4386,             0.00088584,             0.00088584,             0.00088584
                     73,                   1.48,                 1.3387,                 1.4689,                0.72745,                0.67668,                 0.7522,                0.43121,                 1.3962,                  1.088,                  1.428,             0.00087484,             0.00087484,             0.00087484
                     74,                 1.4879,                 1.3455,                 1.4709,                0.72481,                0.67256,                0.74347,                0.42767,                 1.3975,                 1.1055,                 1.4293,             0.00086384,             0.00086384,             0.00086384
                     75,                  1.484,                 1.3007,                 1.4718,                 0.7064,                0.70737,                0.75742,                0.43305,                 1.3988,                 1.0856,                 1.4237,             0.00085284,             0.00085284,             0.00085284
                     76,                 1.4774,                 1.3062,                 1.4593,                0.70348,                0.68297,                0.74625,                0.42855,                 1.3844,                 1.1036,                 1.4173,             0.00084184,             0.00084184,             0.00084184
                     77,                 1.4804,                 1.3033,                 1.4589,                0.71864,                0.69172,                0.76016,                0.43999,                 1.3795,                 1.0661,                 1.4092,             0.00083083,             0.00083083,             0.00083083
                     78,                 1.4698,                 1.3065,                 1.4621,                 0.7431,                0.68717,                0.76247,                0.44166,                 1.3812,                 1.0674,                 1.4243,             0.00081983,             0.00081983,             0.00081983
                     79,                 1.4602,                 1.2937,                 1.4588,                0.72028,                0.70287,                0.76317,                0.44091,                 1.3794,                 1.0719,                 1.4221,             0.00080883,             0.00080883,             0.00080883
                     80,                 1.4571,                 1.2914,                 1.4529,                0.72384,                0.71156,                0.77025,                0.44802,                 1.3708,                 1.0451,                 1.4029,             0.00079783,             0.00079783,             0.00079783
                     81,                 1.4526,                 1.2758,                 1.4471,                0.74301,                0.70657,                0.77897,                0.45489,                 1.3557,                 1.0363,                 1.3854,             0.00078682,             0.00078682,             0.00078682
                     82,                 1.4563,                 1.2695,                  1.451,                0.73543,                0.72189,                0.78365,                0.46284,                 1.3482,                  1.021,                 1.3885,             0.00077582,             0.00077582,             0.00077582
                     83,                 1.4544,                 1.2518,                  1.443,                 0.7463,                0.69968,                0.77486,                0.45238,                 1.3677,                 1.0291,                 1.4034,             0.00076482,             0.00076482,             0.00076482
                     84,                 1.4626,                 1.2465,                 1.4462,                0.75612,                0.70881,                 0.7859,                0.46123,                 1.3577,                 1.0162,                 1.3928,             0.00075382,             0.00075382,             0.00075382
                     85,                  1.461,                 1.2694,                 1.4613,                0.73889,                0.71356,                0.78417,                0.46719,                 1.3257,                 1.0214,                  1.385,             0.00074282,             0.00074282,             0.00074282
                     86,                 1.4488,                 1.2616,                 1.4444,                0.75999,                0.70948,                0.79063,                0.47015,                 1.3339,                 1.0051,                 1.3819,             0.00073181,             0.00073181,             0.00073181
                     87,                 1.4286,                 1.2545,                 1.4309,                0.76273,                0.73523,                0.80267,                0.47893,                 1.3138,                0.97717,                 1.3644,             0.00072081,             0.00072081,             0.00072081
